"min_sigma","max_sigma","threshold","overlap","TP","FP","FN","Precision","Sensitivity","F1"
28,40,0.015,0.3,180,166,360,0.520231213872832,0.333333333333333,0.406320541760722
20,32,0.02,0.3,66,71,474,0.481751824817518,0.122222222222222,0.194977843426883
22,32,0.02,0.3,65,62,475,0.511811023622047,0.12037037037037,0.194902548725637
24,32,0.02,0.3,66,59,474,0.528,0.122222222222222,0.198496240601504
26,32,0.02,0.3,62,56,478,0.525423728813559,0.114814814814815,0.188449848024316
28,32,0.02,0.3,57,46,483,0.553398058252427,0.105555555555556,0.177293934681182
20,34,0.02,0.3,81,68,459,0.543624161073825,0.15,0.235123367198839
22,34,0.02,0.3,83,61,457,0.576388888888889,0.153703703703704,0.242690058479532
24,34,0.02,0.3,79,56,461,0.585185185185185,0.146296296296296,0.234074074074074
26,34,0.02,0.3,81,55,459,0.595588235294118,0.15,0.239644970414201
28,34,0.02,0.3,74,47,466,0.611570247933884,0.137037037037037,0.223903177004539
20,36,0.02,0.3,98,71,442,0.579881656804734,0.181481481481481,0.276445698166432
22,36,0.02,0.3,99,58,441,0.630573248407643,0.183333333333333,0.284074605451937
24,36,0.02,0.3,98,62,442,0.6125,0.181481481481481,0.28
26,36,0.02,0.3,93,51,447,0.645833333333333,0.172222222222222,0.271929824561404
28,36,0.02,0.3,91,45,449,0.669117647058823,0.168518518518519,0.269230769230769
20,38,0.02,0.3,107,73,433,0.594444444444444,0.198148148148148,0.297222222222222
22,38,0.02,0.3,104,63,436,0.622754491017964,0.192592592592593,0.294200848656294
24,38,0.02,0.3,100,62,440,0.617283950617284,0.185185185185185,0.284900284900285
26,38,0.02,0.3,102,57,438,0.641509433962264,0.188888888888889,0.291845493562232
28,38,0.02,0.3,95,48,445,0.664335664335664,0.175925925925926,0.278184480234261
20,40,0.02,0.3,107,71,433,0.601123595505618,0.198148148148148,0.298050139275766
22,40,0.02,0.3,113,64,427,0.638418079096045,0.209259259259259,0.315202231520223
24,40,0.02,0.3,109,62,431,0.637426900584795,0.201851851851852,0.306610407876231
26,40,0.02,0.3,103,58,437,0.639751552795031,0.190740740740741,0.293865905848787
28,40,0.02,0.3,103,50,437,0.673202614379085,0.190740740740741,0.297258297258297
20,32,0.025,0.3,26,29,514,0.472727272727273,0.0481481481481481,0.0873949579831933
22,32,0.025,0.3,23,25,517,0.479166666666667,0.0425925925925926,0.0782312925170068
24,32,0.025,0.3,24,22,516,0.521739130434783,0.0444444444444444,0.0819112627986348
26,32,0.025,0.3,24,23,516,0.51063829787234,0.0444444444444444,0.0817717206132879
28,32,0.025,0.3,23,18,517,0.560975609756098,0.0425925925925926,0.0791738382099828
20,34,0.025,0.3,27,33,513,0.45,0.05,0.09
22,34,0.025,0.3,27,29,513,0.482142857142857,0.05,0.0906040268456376
24,34,0.025,0.3,26,25,514,0.509803921568627,0.0481481481481481,0.0879864636209814
26,34,0.025,0.3,25,26,515,0.490196078431373,0.0462962962962963,0.0846023688663282
28,34,0.025,0.3,25,21,515,0.543478260869565,0.0462962962962963,0.0853242320819113
