 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2560,64.674,63.136,15,255,1939.000,522.000,179.195,60.104,54.231,0.000,1.000,60,1909.000,522.000,0,54,1.108,0.902,1.007
2,3232,39.511,45.056,2,235,1705.000,856.500,203.318,72.080,57.091,0.000,0.982,72,1669.000,856.500,0,57,1.263,0.792,1.004
3,3274,89.448,71.844,5,255,1753.000,787.500,202.660,66.099,63.066,0.000,1.000,66,1720.000,787.500,0,63,1.048,0.954,1.001
4,3140,57.119,64.831,0,255,1809.500,848.000,204.540,76.835,52.033,0.000,0.943,77,1771.000,848.000,0,52,1.477,0.677,1.002
5,4756,25.542,35.659,0,175,2059.000,933.000,245.407,84.125,71.982,0.000,0.992,84,2017.000,933.000,0,72,1.169,0.856,1.004
6,1928,103.640,71.325,0,229,2032.000,1012.500,155.545,51.053,48.083,90.000,1.000,51,2032.000,1038.000,90,48,1.062,0.942,1.000
7,4248,41.401,50.847,0,201,2143.000,1087.500,230.931,75.059,72.059,90.000,1.000,75,2143.000,1125.000,90,72,1.042,0.960,1.009
8,2688,85.945,87.806,0,255,2120.500,990.000,183.813,60.018,57.024,90.000,1.000,60,2120.500,1020.000,90,57,1.053,0.950,1.000
9,3709,41.136,46.033,0,186,2003.500,1123.500,217.180,74.938,63.018,90.000,0.988,75,2003.500,1161.000,90,63,1.189,0.841,0.999
10,2053,38.728,52.203,0,255,1916.500,1066.500,160.221,51.127,51.127,0.000,1.000,51,1891.000,1066.500,0,51,1.000,1.000,1.000
11,1804,30.661,39.802,0,149,1962.000,912.000,150.862,50.051,45.892,90.000,0.996,50,1962.000,937.000,90,46,1.091,0.917,0.997
12,1576,78.669,72.703,6,255,1558.000,1014.000,141.529,47.826,41.957,0.000,0.989,48,1534.000,1014.000,0,42,1.140,0.877,1.001
13,2960,86.865,72.126,6,255,1585.000,1093.500,193.237,62.925,59.893,90.000,0.996,63,1585.000,1125.000,90,60,1.051,0.952,0.991
14,3108,94.915,80.205,4,255,1414.000,1149.000,198.033,65.977,59.979,90.000,0.996,66,1414.000,1182.000,90,60,1.100,0.909,1.004
15,3232,102.173,69.909,7,249,1469.500,1194.000,203.318,72.080,57.091,90.000,0.982,72,1469.500,1230.000,90,57,1.263,0.792,1.004
16,5020,89.602,50.993,19,235,1972.000,1887.000,251.485,84.002,76.089,90.000,0.997,84,1972.000,1929.000,90,76,1.104,0.906,1.005
17,3108,78.805,58.550,20,215,1488.000,1710.000,198.033,65.977,59.979,90.000,0.996,66,1488.000,1743.000,90,60,1.100,0.909,1.004
18,2561,62.052,58.485,14,221,1570.500,1732.500,179.071,57.103,57.103,0.000,1.000,57,1542.000,1732.500,0,57,1.000,1.000,1.003
19,2445,52.963,55.736,7,218,1672.500,1792.500,181.060,69.040,45.091,0.000,0.937,69,1638.000,1792.500,0,45,1.531,0.653,1.009
20,2376,70.059,45.883,24,203,1761.000,1750.500,175.155,62.965,48.046,90.000,0.973,63,1761.000,1782.000,90,48,1.310,0.763,0.994
21,8119,62.787,51.136,0,207,1633.500,1324.500,321.066,111.099,93.047,0.000,0.990,111,1578.000,1324.500,0,93,1.194,0.838,1.002
22,6564,82.098,63.634,0,237,1636.500,1167.000,287.630,96.071,86.994,90.000,0.997,96,1636.500,1215.000,90,87,1.104,0.906,0.999
23,3568,51.208,56.793,0,235,1603.500,1242.000,212.293,72.098,63.010,90.000,0.995,72,1603.500,1278.000,90,63,1.144,0.874,0.997
24,5734,97.519,81.064,0,252,1545.000,1171.500,268.792,90.070,81.056,0.000,0.997,90,1500.000,1171.500,0,81,1.111,0.900,1.002
25,4620,98.793,79.518,2,247,1500.000,1262.000,242.403,83.963,70.059,0.000,0.988,84,1458.000,1262.000,0,70,1.198,0.834,1.003
26,3260,135.330,62.513,27,255,1441.500,1248.000,202.879,69.094,60.074,0.000,0.995,69,1407.000,1248.000,0,60,1.150,0.869,1.007
27,6144,99.937,46.935,8,218,1339.500,1305.000,278.211,93.081,84.043,0.000,0.998,93,1293.000,1305.000,0,84,1.108,0.903,1.006
28,1618,40.552,31.583,4,136,1478.500,1329.000,143.154,48.887,42.140,0.000,0.992,49,1454.000,1329.000,0,42,1.160,0.862,1.006
29,3125,52.553,27.299,7,177,1546.500,1327.500,197.920,63.078,63.078,0.000,1.000,63,1515.000,1327.500,0,63,1.000,1.000,0.990
30,6697,43.131,34.754,0,149,1699.500,1405.500,293.385,105.070,81.155,0.000,0.978,105,1647.000,1405.500,0,81,1.295,0.772,1.000
31,3396,39.624,50.344,0,188,1908.000,1236.000,207.774,72.056,60.008,90.000,0.989,72,1908.000,1272.000,90,60,1.201,0.833,1.004
32,1490,37.503,41.303,0,172,1894.500,1143.000,136.700,45.151,42.017,0.000,1.000,45,1872.000,1143.000,0,42,1.075,0.931,1.014
33,2828,37.407,39.247,0,209,1968.000,1281.000,188.496,60.006,60.006,0.000,1.000,60,1938.000,1281.000,0,60,1.000,1.000,1.001
34,2400,40.167,38.962,0,186,2032.500,1248.000,174.645,59.873,51.038,90.000,0.989,60,2032.500,1278.000,90,51,1.173,0.852,0.997
35,5487,51.811,48.237,0,254,2029.500,1342.500,264.652,93.080,75.057,0.000,0.984,93,1983.000,1342.500,0,75,1.240,0.806,1.011
36,5348,38.484,34.021,0,182,2016.000,1492.500,259.203,84.047,81.018,0.000,1.000,84,1974.000,1492.500,0,81,1.037,0.964,1.003
37,4890,52.281,48.376,0,177,1954.500,1548.000,250.847,90.144,69.069,90.000,0.977,90,1954.500,1593.000,90,69,1.305,0.766,1.007
38,3052,56.676,46.445,8,184,2649.000,1368.000,198.931,71.883,54.059,0.000,0.969,72,2613.000,1368.000,0,54,1.330,0.752,1.003
39,2560,44.073,42.027,10,209,2670.000,1488.000,179.195,60.104,54.231,0.000,1.000,60,2640.000,1488.000,0,54,1.108,0.902,1.007
40,3436,80.358,66.629,13,220,2628.000,1626.000,207.345,66.143,66.143,0.000,1.000,66,2595.000,1626.000,0,66,1.000,1.000,1.013
41,5734,41.891,43.247,0,179,2095.500,1161.000,268.792,90.070,81.056,90.000,0.997,90,2095.500,1206.000,90,81,1.111,0.900,1.002
42,7652,68.472,35.161,7,174,1452.000,906.000,311.661,108.101,90.127,0.000,0.990,108,1398.000,906.000,0,90,1.199,0.834,1.001
43,10539,93.813,52.052,7,202,1525.500,650.500,364.757,123.040,109.059,0.000,0.995,123,1464.000,650.500,0,109,1.128,0.886,0.999
44,3536,52.893,23.730,5,142,2164.500,1194.000,212.713,75.107,59.944,0.000,0.982,75,2127.000,1194.000,0,60,1.253,0.798,1.007
45,2820,46.426,39.031,2,143,1642.500,1034.000,191.005,69.011,52.028,0.000,0.971,69,1608.000,1034.000,0,52,1.326,0.754,1.004
46,2422,76.266,56.405,0,232,2035.500,1176.000,174.390,57.083,54.023,0.000,1.000,57,2007.000,1176.000,0,54,1.057,0.946,1.002
47,4052,125.715,45.503,35,199,2001.000,459.000,226.588,78.023,66.123,90.000,0.992,78,2001.000,498.000,90,66,1.180,0.847,1.007
48,8652,95.600,46.906,11,222,1473.000,801.000,329.935,107.934,102.063,90.000,0.999,108,1473.000,855.000,90,102,1.058,0.946,1.000
49,3274,26.439,34.505,0,155,1963.500,1026.000,202.660,66.099,63.066,90.000,1.000,66,1963.500,1059.000,90,63,1.048,0.954,1.001
