 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2733,88.472,71.469,6,229,1346.500,914.500,185.354,58.990,58.990,0.000,1.000,59,1317,914.500,0,59,1.000,1.000,1.004
2,4416,107.783,51.454,3,193,1527.000,1122.000,235.714,78.118,71.976,90.000,0.999,78,1527,1161.000,90,72,1.085,0.921,1.004
3,4052,74.274,69.870,0,221,1797.000,999.000,226.588,78.023,66.123,0.000,0.992,78,1758,999.000,0,66,1.180,0.847,1.007
4,3415,63.214,48.232,0,194,1804.500,1060.500,207.452,69.017,63.001,0.000,0.997,69,1770,1060.500,0,63,1.095,0.913,0.998
5,5272,86.358,32.553,17,144,1688.000,1059.000,257.649,83.992,79.919,90.000,0.998,84,1688,1101.000,90,80,1.051,0.952,1.003
6,3056,116.413,59.169,3,216,1207.500,1149.000,205.962,80.919,48.086,0.000,0.905,81,1167,1149.000,0,48,1.683,0.594,1.001
7,2832,58.612,44.912,4,171,1903.500,864.000,195.542,75.089,48.021,0.000,0.931,75,1866,864.000,0,48,1.564,0.640,1.006
8,3093,73.702,47.717,6,184,1993.500,847.500,198.369,68.966,57.102,0.000,0.988,69,1959,847.500,0,57,1.208,0.828,1.005
9,5160,88.227,56.997,8,255,2055.000,873.000,254.556,84.057,78.160,90.000,1.000,84,2055,915.000,90,78,1.075,0.930,1.005
10,5544,44.903,48.344,0,203,2112.000,918.000,263.894,84.017,84.017,0.000,1.000,84,2070,918.000,0,84,1.000,1.000,1.003
11,4966,68.460,70.500,2,209,1944.000,970.500,249.779,81.051,78.012,90.000,1.000,81,1944,1011.000,90,78,1.039,0.963,1.002
12,3415,53.191,59.092,0,255,2023.500,1021.500,207.452,69.017,63.001,0.000,0.997,69,1989,1021.500,0,63,1.095,0.913,0.998
13,2934,43.596,49.848,0,196,2043.000,958.500,193.927,69.150,54.023,90.000,0.980,69,2043,993.000,90,54,1.280,0.781,1.008
14,5088,71.940,49.477,6,211,1983.000,897.000,255.255,90.023,71.962,0.000,0.981,90,1938,897.000,0,72,1.251,0.799,1.002
15,3436,74.536,54.952,0,207,1869.000,1035.000,207.345,66.143,66.143,0.000,1.000,66,1836,1035.000,0,66,1.000,1.000,1.013
16,2040,123.144,44.326,47,196,1863.000,957.000,160.360,54.189,47.932,90.000,0.997,54,1863,984.000,90,48,1.131,0.885,1.003
17,5524,76.780,59.169,0,247,1953.000,1071.000,264.230,90.117,78.047,90.000,0.994,90,1953,1116.000,90,78,1.155,0.866,1.003
18,2561,45.040,53.938,0,197,1882.500,1105.500,179.071,57.103,57.103,0.000,1.000,57,1854,1105.500,0,57,1.000,1.000,1.003
19,2688,68.692,50.500,6,187,2265.000,1015.500,183.813,60.018,57.024,0.000,1.000,60,2235,1015.500,0,57,1.053,0.950,1.000
20,2688,87.952,39.824,16,169,2226.000,931.500,183.813,60.018,57.024,0.000,1.000,60,2196,931.500,0,57,1.053,0.950,1.000
21,3108,57.736,26.675,11,137,2076.000,1113.000,198.033,65.977,59.979,90.000,0.996,66,2076,1146.000,90,60,1.100,0.909,1.004
22,2560,111.397,57.621,31,255,2202.000,1119.000,179.195,60.104,54.231,90.000,1.000,60,2202,1149.000,90,54,1.108,0.902,1.007
23,8119,107.319,49.586,11,183,2500.500,1186.500,321.066,111.099,93.047,0.000,0.990,111,2445,1186.500,0,93,1.194,0.838,1.002
24,7746,132.521,47.993,18,199,2707.500,1328.000,312.827,104.928,93.993,0.000,0.995,105,2655,1328.000,0,94,1.116,0.896,0.999
25,7200,136.724,42.953,38,203,2739.000,1407.000,301.887,101.847,90.011,0.000,0.993,102,2688,1407.000,0,90,1.131,0.884,0.999
26,7020,141.659,36.145,25,193,2790.000,1483.500,296.899,96.003,93.103,0.000,1.000,96,2742,1483.500,0,93,1.031,0.970,1.003
27,11861,133.370,38.795,57,194,2797.500,1759.500,386.646,129.098,116.981,90.000,0.997,129,2797.500,1824.000,90,117,1.104,0.906,1.001
28,7934,89.830,42.131,13,160,2725.500,1848.000,315.748,102.067,98.973,90.000,1.000,102,2725.500,1899.000,90,99,1.031,0.970,0.999
29,5133,119.453,21.241,55,255,2740.500,1561.500,254.818,87.000,75.121,90.000,0.993,87,2740.500,1605.000,90,75,1.158,0.863,1.007
30,6788,109.898,22.829,39,150,2760.000,1659.000,292.244,95.967,90.060,0.000,0.999,96,2712,1659.000,0,90,1.066,0.938,0.999
31,3396,136.116,40.600,65,255,2625.000,1821.000,207.774,72.056,60.008,90.000,0.989,72,2625,1857.000,90,60,1.201,0.833,1.004
32,4416,94.270,44.837,16,227,2601.000,1911.000,235.714,78.118,71.976,90.000,0.999,78,2601,1950.000,90,72,1.085,0.921,1.004
33,4756,133.265,23.885,70,174,2643.000,1413.000,245.407,84.125,71.982,0.000,0.992,84,2601,1413.000,0,72,1.169,0.856,1.004
34,4584,116.084,70.898,15,255,2623.500,1305.000,240.540,81.075,71.989,0.000,0.996,81,2583,1305.000,0,72,1.126,0.888,1.004
35,3894,136.370,36.136,85,255,2527.500,1371.000,221.708,75.051,66.061,0.000,0.996,75,2490,1371.000,0,66,1.136,0.880,1.011
36,4421,106.321,64.115,10,255,2590.500,1468.500,235.619,75.027,75.027,0.000,1.000,75,2553,1468.500,0,75,1.000,1.000,1.012
37,3260,91.919,37.144,17,237,2664.000,1648.500,202.879,69.094,60.074,90.000,0.995,69,2664,1683.000,90,60,1.150,0.869,1.007
38,3239,76.015,35.031,24,143,1984.500,1993.500,210.031,80.808,51.035,0.000,0.923,81,1944,1993.500,0,51,1.583,0.632,0.996
39,2292,75.095,42.001,26,193,1892.000,2054.000,169.704,56.121,51.999,0.000,1.000,56,1864,2054.000,0,52,1.079,0.927,0.997
40,3125,79.213,31.740,43,163,1801.500,2113.500,197.920,63.078,63.078,0.000,1.000,63,1770,2113.500,0,63,1.000,1.000,0.990
41,3568,76.543,29.647,25,153,1690.500,2106.000,212.293,72.098,63.010,90.000,0.995,72,1690.500,2142.000,90,63,1.144,0.874,0.997
42,5734,48.401,28.945,0,135,1519.500,1866.000,268.792,90.070,81.056,90.000,0.997,90,1519.500,1911.000,90,81,1.111,0.900,1.002
43,5169,114.527,45.399,21,191,1480.500,1210.500,254.469,81.126,81.126,0.000,1.000,81,1440,1210.500,0,81,1.000,1.000,1.005
44,7462,78.879,39.502,3,174,1565.000,1209.500,306.404,101.015,94.055,90.000,0.999,101,1565,1260.000,90,94,1.074,0.931,1.003
45,7705,109.499,44.146,15,237,1600.500,1042.500,311.018,99.047,99.047,0.000,1.000,99,1551,1042.500,0,99,1.000,1.000,0.996
46,8641,88.518,56.036,8,230,1645.500,1126.500,330.137,111.048,99.075,0.000,0.996,111,1590,1126.500,0,99,1.121,0.892,0.996
47,3070,56.640,42.093,6,238,1948.000,1171.500,196.353,63.053,61.993,90.000,1.000,63,1948,1203.000,90,62,1.017,0.983,0.992
48,3870,82.067,83.148,2,254,1293.000,763.500,222.109,78.162,63.041,0.000,0.986,78,1254,763.500,0,63,1.240,0.807,0.997
49,3568,119.084,54.422,7,223,1341.000,1117.500,212.293,72.098,63.010,0.000,0.995,72,1305,1117.500,0,63,1.144,0.874,0.997
50,8898,118.332,42.799,54,255,2556.000,1261.500,334.729,111.032,102.037,90.000,0.998,111,2556,1317.000,90,102,1.088,0.919,0.998
51,5348,90.724,32.844,49,255,2463.000,1267.500,259.203,84.047,81.018,0.000,1.000,84,2421,1267.500,0,81,1.037,0.964,1.003
52,5348,117.229,42.829,52,255,2682.000,1486.500,259.203,84.047,81.018,0.000,1.000,84,2640,1486.500,0,81,1.037,0.964,1.003
