 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1511,12.678,16.364,0,102,2003.500,1398.500,138.677,49.053,39.220,0.000,0.987,49,1979.000,1398.500,0,39,1.251,0.800,1.004
2,5169,53.572,46.324,0,201,2101.500,1371.500,254.469,81.126,81.126,0.000,1.000,81,2061.000,1371.500,0,81,1.000,1.000,1.005
3,4052,39.930,45.183,1,254,1782.000,1229.000,226.588,78.023,66.123,0.000,0.992,78,1743.000,1229.000,0,66,1.180,0.847,1.007
4,2612,76.084,67.511,6,219,1651.500,1127.000,185.266,69.073,48.147,0.000,0.956,69,1617.000,1127.000,0,48,1.435,0.697,1.008
5,3108,80.907,70.845,0,255,1614.000,1205.000,198.033,65.977,59.979,0.000,0.996,66,1581.000,1205.000,0,60,1.100,0.909,1.004
6,7258,74.245,63.974,2,211,2518.500,887.000,308.502,114.017,81.051,90.000,0.958,114,2518.500,944.000,90,81,1.407,0.711,1.003
7,5702,72.396,51.107,1,188,2619.000,954.500,269.123,93.102,77.979,90.000,0.989,93,2619.000,1001.000,90,78,1.194,0.838,1.005
8,5600,73.152,53.468,1,202,2494.500,2162.000,270.283,98.881,72.108,0.000,0.963,99,2445.000,2162.000,0,72,1.371,0.729,1.000
9,10316,69.908,45.377,7,222,2702.000,2059.000,366.622,133.961,98.049,0.000,0.964,134,2635.000,2059.000,0,98,1.366,0.732,0.998
10,5660,96.949,64.293,7,223,2302.500,2258.000,269.620,96.074,75.011,90.000,0.978,96,2302.500,2306.000,90,75,1.281,0.781,1.005
11,4756,68.270,56.279,6,219,2394.000,2213.000,245.407,84.125,71.982,0.000,0.992,84,2352.000,2213.000,0,72,1.169,0.856,1.004
12,7774,146.384,49.220,23,224,2209.000,2297.500,312.606,100.984,98.017,90.000,1.000,101,2209.000,2348.000,90,98,1.030,0.971,0.999
13,5734,132.770,50.674,42,224,1930.500,2378.000,268.792,90.070,81.056,90.000,0.997,90,1930.500,2423.000,90,81,1.111,0.900,1.002
14,7200,23.103,31.099,0,192,1998.000,1898.000,301.887,101.847,90.011,90.000,0.993,102,1998.000,1949.000,90,90,1.131,0.884,0.999
15,2831,58.539,59.804,0,255,2008.500,1728.500,188.613,63.210,57.025,0.000,1.000,63,1977.000,1728.500,0,57,1.108,0.902,0.996
16,2400,66.103,68.479,0,253,2008.500,1640.000,174.645,59.873,51.038,90.000,0.989,60,2008.500,1670.000,90,51,1.173,0.852,0.997
17,2960,39.838,52.110,0,252,1983.000,1509.500,193.237,62.925,59.893,90.000,0.996,63,1983.000,1541.000,90,60,1.051,0.952,0.991
18,2166,51.879,41.913,0,164,2017.500,1568.000,164.967,54.013,51.059,90.000,1.000,54,2017.500,1595.000,90,51,1.058,0.945,0.999
19,6988,27.775,25.878,0,171,1950.000,1577.000,304.249,113.880,78.130,90.000,0.949,114,1950.000,1634.000,90,78,1.458,0.686,1.003
20,3586,20.513,26.685,0,108,1881.000,1626.500,212.084,69.084,66.091,90.000,1.000,69,1881.000,1661.000,90,66,1.045,0.957,1.011
21,3586,65.542,64.774,0,253,1548.000,1488.500,212.084,69.084,66.091,90.000,1.000,69,1548.000,1523.000,90,66,1.045,0.957,1.011
22,3052,69.214,41.545,15,205,1431.000,1469.000,198.931,71.883,54.059,90.000,0.969,72,1431.000,1505.000,90,54,1.330,0.752,1.003
23,2560,67.991,53.590,9,254,1518.000,1403.000,179.195,60.104,54.231,0.000,1.000,60,1488.000,1403.000,0,54,1.108,0.902,1.007
24,2148,27.730,30.576,2,185,1603.500,1421.000,165.237,57.068,47.924,0.000,0.989,57,1575.000,1421.000,0,48,1.191,0.840,0.998
25,1356,47.214,29.376,6,126,1611.000,1352.000,132.621,47.839,36.090,90.000,0.969,48,1611.000,1376.000,90,36,1.326,0.754,0.993
26,4598,33.169,40.245,0,146,1717.500,1751.000,240.355,78.067,74.992,90.000,1.000,78,1717.500,1790.000,90,75,1.041,0.961,1.007
27,5884,16.558,29.369,0,122,1659.000,1817.000,274.050,95.996,78.042,0.000,0.985,96,1611.000,1817.000,0,78,1.230,0.813,1.000
28,9044,24.977,32.998,0,154,1596.000,1736.000,340.340,119.981,95.975,0.000,0.981,120,1536.000,1736.000,0,96,1.250,0.800,1.000
29,7235,47.817,65.624,0,219,1576.500,1644.500,301.667,99.032,93.019,0.000,0.999,99,1527.000,1644.500,0,93,1.065,0.939,1.002
30,6540,59.781,64.334,0,253,1603.500,1565.000,287.939,99.051,84.067,0.000,0.991,99,1554.000,1565.000,0,84,1.178,0.849,1.000
31,5524,67.370,60.023,0,230,1494.000,1574.000,264.230,90.117,78.047,0.000,0.994,90,1449.000,1574.000,0,78,1.155,0.866,1.003
32,2674,46.335,50.664,0,251,1365.000,1542.500,184.055,62.917,54.113,90.000,0.992,63,1365.000,1574.000,90,54,1.163,0.860,0.995
33,8184,93.205,39.296,21,163,1287.000,1703.000,320.442,102.079,102.079,0.000,1.000,102,1236.000,1703.000,0,102,1.000,1.000,1.003
34,3709,72.177,73.339,0,235,1423.500,1596.500,217.180,74.938,63.018,90.000,0.988,75,1423.500,1634.000,90,63,1.189,0.841,0.999
35,3436,94.496,70.381,0,246,1392.000,1649.000,207.345,66.143,66.143,0.000,1.000,66,1359.000,1649.000,0,66,1.000,1.000,1.013
36,2800,55.166,60.908,0,253,1455.000,1664.000,188.967,66.043,53.981,0.000,0.985,66,1422.000,1664.000,0,54,1.223,0.817,1.005
37,4248,35.315,39.991,0,163,1579.500,1916.000,230.931,75.059,72.059,0.000,1.000,75,1542.000,1916.000,0,72,1.042,0.960,1.009
38,5833,52.964,46.214,0,147,1657.500,1944.500,274.620,99.063,74.970,0.000,0.972,99,1608.000,1944.500,0,75,1.321,0.757,1.003
39,3716,66.400,59.766,0,182,1796.000,2017.500,219.588,80.159,59.025,0.000,0.968,80,1756.000,2017.500,0,59,1.358,0.736,1.008
40,5957,71.382,51.463,0,178,1828.500,1971.500,273.319,87.090,87.090,0.000,1.000,87,1785.000,1971.500,0,87,1.000,1.000,1.001
41,7934,67.106,56.408,0,185,1921.500,1964.000,315.748,102.067,98.973,90.000,1.000,102,1921.500,2015.000,90,99,1.031,0.970,0.999
42,4393,45.248,34.390,5,138,1573.500,2058.500,235.997,81.121,68.951,0.000,0.991,81,1533.000,2058.500,0,69,1.177,0.850,1.005
43,7924,15.736,24.377,0,121,1644.000,2109.500,315.888,105.008,96.080,90.000,0.998,105,1644.000,2162.000,90,96,1.093,0.915,0.996
44,3568,55.044,48.425,8,254,1440.000,2133.500,212.293,72.098,63.010,0.000,0.995,72,1404.000,2133.500,0,63,1.144,0.874,0.997
45,2831,60.959,42.777,12,187,1525.500,2163.500,188.613,63.210,57.025,90.000,1.000,63,1525.500,2195.000,90,57,1.108,0.902,0.996
46,4966,64.876,44.838,11,176,1749.000,2163.500,249.779,81.051,78.012,90.000,1.000,81,1749.000,2204.000,90,78,1.039,0.963,1.002
47,7924,25.112,39.385,0,182,1939.500,2066.000,315.888,105.008,96.080,0.000,0.998,105,1887.000,2066.000,0,96,1.093,0.915,0.996
48,4779,34.476,42.453,0,164,1921.500,1875.500,245.135,81.010,75.112,0.000,0.999,81,1881.000,1875.500,0,75,1.079,0.927,1.008
49,6144,64.963,62.667,0,196,2104.500,2036.000,278.211,93.081,84.043,0.000,0.998,93,2058.000,2036.000,0,84,1.108,0.903,1.006
50,8244,45.354,51.058,0,201,2079.000,1948.500,322.245,108.125,97.078,0.000,0.998,108,2025.000,1948.500,0,97,1.114,0.898,1.000
51,1928,76.579,73.715,0,251,1683.000,1269.500,155.545,51.053,48.083,90.000,1.000,51,1683.000,1295.000,90,48,1.062,0.942,1.000
52,782,112.020,94.832,1,250,1725.000,1143.500,99.016,33.006,30.166,90.000,1.000,33,1725.000,1160.000,90,30,1.094,0.914,1.005
