 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6376,190.300,51.642,14,255,2115.000,756.000,282.743,90.101,90.101,0.000,1.000,90,2070.000,756.000,0,90,1.000,1.000,1.003
2,8175,182.679,39.688,45,236,2332.500,811.500,320.512,105.081,99.055,0.000,1.000,105,2280.000,811.500,0,99,1.061,0.943,0.996
3,7934,173.616,58.984,4,254,2053.500,1086.000,315.748,102.067,98.973,90.000,1.000,102,2053.500,1137.000,90,99,1.031,0.970,0.999
4,10486,157.417,51.030,7,252,2100.000,1165.500,362.869,116.984,114.128,90.000,1.000,117,2100.000,1224.000,90,114,1.025,0.976,1.003
5,7892,174.265,43.621,23,247,2220.000,1126.500,316.170,107.990,93.049,0.000,0.992,108,2166.000,1126.500,0,93,1.161,0.862,1.003
6,7924,168.336,49.868,33,252,2275.500,1047.000,315.888,105.008,96.080,0.000,0.998,105,2223.000,1047.000,0,96,1.093,0.915,0.996
7,8604,161.776,49.082,23,235,2337.000,978.000,330.473,114.123,95.992,90.000,0.990,114,2337.000,1035.000,90,96,1.189,0.841,1.001
8,5925,162.168,61.225,6,252,2215.500,937.500,273.644,93.081,81.047,90.000,0.994,93,2215.500,984.000,90,81,1.148,0.871,1.006
9,7020,123.479,65.080,1,237,2124.000,895.500,296.899,96.003,93.103,0.000,1.000,96,2076.000,895.500,0,93,1.031,0.970,1.003
10,7294,154.377,51.894,35,247,2124.000,1004.500,303.410,101.974,91.073,0.000,0.996,102,2073.000,1004.500,0,91,1.120,0.893,1.001
11,6367,148.962,66.098,5,249,2251.500,874.500,282.822,93.032,87.139,0.000,1.000,93,2205.000,874.500,0,87,1.068,0.937,1.005
12,4779,156.587,56.856,8,236,1831.500,1111.500,245.135,81.010,75.112,0.000,0.999,81,1791.000,1111.500,0,75,1.079,0.927,1.008
13,7235,138.267,62.261,6,254,1936.500,1036.500,301.667,99.032,93.019,0.000,0.999,99,1887.000,1036.500,0,93,1.065,0.939,1.002
14,7705,195.202,51.227,10,255,1777.500,769.500,311.018,99.047,99.047,0.000,1.000,99,1728.000,769.500,0,99,1.000,1.000,0.996
15,6788,139.242,69.297,4,254,1755.000,999.000,292.244,95.967,90.060,0.000,0.999,96,1707.000,999.000,0,90,1.066,0.938,0.999
16,7476,151.289,42.653,9,212,1741.500,1743.000,306.323,99.099,96.053,0.000,1.000,99,1692.000,1743.000,0,96,1.032,0.969,0.998
17,6376,120.371,38.374,0,174,1743.000,1653.000,282.743,90.101,90.101,0.000,1.000,90,1698.000,1653.000,0,90,1.000,1.000,1.003
18,4248,176.278,59.289,25,254,1669.500,1020.000,230.931,75.059,72.059,0.000,1.000,75,1632.000,1020.000,0,72,1.042,0.960,1.009
19,6582,181.656,53.555,30,245,1623.000,946.500,287.475,93.093,90.022,90.000,1.000,93,1623.000,993.000,90,90,1.034,0.967,1.005
20,5272,162.183,65.667,2,248,1590.000,740.000,257.649,83.992,79.919,0.000,0.998,84,1548.000,740.000,0,80,1.051,0.952,1.003
21,7476,159.155,62.475,0,249,2001.000,775.500,306.323,99.099,96.053,90.000,1.000,99,2001.000,825.000,90,96,1.032,0.969,0.998
22,8400,176.746,53.754,19,243,2178.000,1369.500,325.309,107.952,99.074,0.000,0.997,108,2124.000,1369.500,0,99,1.090,0.918,0.997
23,4718,188.487,46.413,37,251,1875.000,996.500,243.476,77.994,77.021,0.000,1.000,78,1836.000,996.500,0,77,1.013,0.988,1.005
24,7020,135.030,45.147,13,207,1323.000,1353.500,296.899,96.003,93.103,0.000,1.000,96,1275.000,1353.500,0,93,1.031,0.970,1.003
25,6564,157.469,51.854,14,240,1384.500,1265.000,287.630,96.071,86.994,90.000,0.997,96,1384.500,1313.000,90,87,1.104,0.906,0.999
