 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,7669,64.619,38.260,8,177,2701.500,1395.500,311.303,105.054,92.947,90.000,0.994,105,2701.500,1448.000,90,93,1.130,0.885,1.000
2,6084,44.927,42.233,2,182,2451.000,806.000,276.603,92.134,84.078,90.000,0.999,92,2451.000,852.000,90,84,1.096,0.913,1.006
3,6797,97.574,58.131,3,233,1268.500,976.500,292.202,94.994,91.103,0.000,1.000,95,1221.000,976.500,0,91,1.043,0.959,1.002
4,6785,75.720,52.484,5,219,1129.500,1218.500,292.168,92.946,92.946,0.000,0.999,93,1083.000,1218.500,0,93,1.000,1.000,1.006
5,5169,40.769,46.150,0,198,1882.500,1854.500,254.469,81.126,81.126,0.000,1.000,81,1842.000,1854.500,0,81,1.000,1.000,1.005
6,10476,32.700,41.853,0,180,1557.000,1956.500,362.992,120.074,111.085,0.000,0.999,120,1497.000,1956.500,0,111,1.081,0.925,0.999
7,7593,78.899,43.826,2,162,1687.500,1992.500,312.161,111.040,87.065,0.000,0.979,111,1632.000,1992.500,0,87,1.275,0.784,0.998
8,6788,60.016,62.401,0,196,1971.000,1907.000,292.244,95.967,90.060,0.000,0.999,96,1923.000,1907.000,0,90,1.066,0.938,0.999
9,6582,72.559,57.611,0,203,1903.500,1949.000,287.475,93.093,90.022,0.000,1.000,93,1857.000,1949.000,0,90,1.034,0.967,1.005
10,6982,53.089,61.927,0,240,2083.500,1430.000,297.348,102.063,87.100,90.000,0.992,102,2083.500,1481.000,90,87,1.172,0.853,1.002
11,2674,23.691,32.601,0,139,2260.500,1223.000,184.055,62.917,54.113,0.000,0.992,63,2229.000,1223.000,0,54,1.163,0.860,0.995
12,5608,44.713,32.376,1,171,2451.000,1061.000,277.314,108.153,66.021,90.000,0.916,108,2451.000,1115.000,90,66,1.638,0.610,1.005
13,3709,54.707,71.139,0,255,2329.500,1599.500,217.180,74.938,63.018,0.000,0.988,75,2292.000,1599.500,0,63,1.189,0.841,0.999
14,2960,33.862,41.427,0,236,2302.500,1508.000,193.237,62.925,59.893,0.000,0.996,63,2271.000,1508.000,0,60,1.051,0.952,0.991
15,1294,63.788,55.428,0,200,2265.000,1398.500,127.278,42.197,39.044,0.000,1.000,42,2244.000,1398.500,0,39,1.081,0.925,1.011
16,4393,64.172,73.732,0,254,2134.500,1623.500,235.997,81.121,68.951,0.000,0.991,81,2094.000,1623.500,0,69,1.177,0.850,1.005
17,4248,79.287,49.735,0,195,2146.500,1703.000,230.931,75.059,72.059,0.000,1.000,75,2109.000,1703.000,0,72,1.042,0.960,1.009
18,6948,74.768,53.690,0,235,2230.000,1671.000,295.310,94.056,94.056,0.000,1.000,94,2183.000,1671.000,0,94,1.000,1.000,1.008
19,5872,24.923,33.486,0,144,1952.500,1502.000,271.805,88.967,84.036,0.000,0.999,89,1908.000,1502.000,0,84,1.059,0.945,1.000
20,2958,72.217,74.229,0,253,1950.000,1353.500,193.467,65.900,57.151,0.000,0.993,66,1917.000,1353.500,0,57,1.153,0.867,1.005
21,6785,61.364,66.536,0,209,1966.500,1260.500,292.168,92.946,92.946,0.000,0.999,93,1920.000,1260.500,0,93,1.000,1.000,1.006
22,4779,75.302,45.782,0,187,2014.500,1182.500,245.135,81.010,75.112,90.000,0.999,81,2014.500,1223.000,90,75,1.079,0.927,1.008
23,3125,95.597,48.384,6,222,2113.500,1278.500,197.920,63.078,63.078,0.000,1.000,63,2082.000,1278.500,0,63,1.000,1.000,0.990
24,4966,53.071,57.944,0,197,2062.500,1253.000,249.779,81.051,78.012,0.000,1.000,81,2022.000,1253.000,0,78,1.039,0.963,1.002
25,4052,91.333,55.606,3,204,2040.000,1382.000,226.588,78.023,66.123,0.000,0.992,78,2001.000,1382.000,0,66,1.180,0.847,1.007
26,3125,44.885,54.042,0,255,1936.500,1416.500,197.920,63.078,63.078,0.000,1.000,63,1905.000,1416.500,0,63,1.000,1.000,0.990
27,4052,60.650,69.973,0,254,1851.000,1349.000,226.588,78.023,66.123,0.000,0.992,78,1812.000,1349.000,0,66,1.180,0.847,1.007
28,8175,60.453,51.812,0,223,1744.500,1389.500,320.512,105.081,99.055,0.000,1.000,105,1692.000,1389.500,0,99,1.061,0.943,0.996
29,3274,67.772,61.590,0,224,1840.500,1433.000,202.660,66.099,63.066,90.000,1.000,66,1840.500,1466.000,90,63,1.048,0.954,1.001
30,4966,32.652,44.734,0,184,1825.500,1601.000,249.779,81.051,78.012,0.000,1.000,81,1785.000,1601.000,0,78,1.039,0.963,1.002
31,2912,94.453,58.028,5,251,1847.000,1532.000,191.959,66.079,56.110,90.000,0.993,66,1847.000,1565.000,90,56,1.178,0.849,1.004
32,2422,98.347,48.291,5,185,1809.000,1491.500,174.390,57.083,54.023,90.000,1.000,57,1809.000,1520.000,90,54,1.057,0.946,1.002
33,5348,79.073,78.686,0,250,2083.500,1532.000,259.203,84.047,81.018,90.000,1.000,84,2083.500,1574.000,90,81,1.037,0.964,1.003
34,6252,78.214,47.449,0,213,1689.000,1295.000,284.001,101.991,78.049,90.000,0.974,102,1689.000,1346.000,90,78,1.307,0.765,1.002
35,10211,81.742,34.355,6,195,1546.500,573.500,358.204,117.075,111.049,0.000,1.000,117,1488.000,573.500,0,111,1.054,0.949,0.999
36,2934,166.844,51.144,13,247,1539.000,1080.500,193.927,69.150,54.023,90.000,0.980,69,1539.000,1115.000,90,54,1.280,0.781,1.008
