 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5160,159.288,47.994,24,235,2116.000,792.000,254.556,84.057,78.160,0.000,1.000,84,2074.000,792.000,0,78,1.075,0.930,1.005
2,4556,164.056,45.062,36,234,2339.500,609.000,240.910,84.026,69.037,90.000,0.986,84,2339.500,651.000,90,69,1.217,0.822,1.006
3,4779,180.039,52.095,9,244,2318.500,718.500,245.135,81.010,75.112,0.000,0.999,81,2278.000,718.500,0,75,1.079,0.927,1.008
4,3568,152.878,37.597,59,226,2224.000,637.500,212.293,72.098,63.010,0.000,0.995,72,2188.000,637.500,0,63,1.144,0.874,0.997
5,6158,206.794,25.246,101,240,2186.500,1386.000,278.051,90.011,87.108,90.000,1.000,90,2186.500,1431.000,90,87,1.033,0.968,1.001
6,6376,185.501,45.437,18,244,2170.000,1482.000,282.743,90.101,90.101,0.000,1.000,90,2125.000,1482.000,0,90,1.000,1.000,1.003
7,6582,121.328,53.570,0,220,2117.500,1416.000,287.475,93.093,90.022,0.000,1.000,93,2071.000,1416.000,0,90,1.034,0.967,1.005
8,7010,167.974,57.455,26,244,2330.500,1203.000,297.049,99.091,90.073,0.000,0.998,99,2281.000,1203.000,0,90,1.100,0.909,0.999
9,4966,159.437,60.442,8,244,2342.500,1074.000,249.779,81.051,78.012,0.000,1.000,81,2302.000,1074.000,0,78,1.039,0.963,1.002
10,4248,167.499,50.417,10,233,2207.500,1104.000,230.931,75.059,72.059,0.000,1.000,75,2170.000,1104.000,0,72,1.042,0.960,1.009
11,4792,151.638,53.101,3,245,2233.000,960.000,245.044,78.111,78.111,0.000,1.000,78,2194.000,960.000,0,78,1.000,1.000,1.004
12,5302,151.227,40.696,6,233,2294.500,888.000,259.717,90.018,74.993,90.000,0.988,90,2294.500,933.000,90,75,1.200,0.833,1.005
13,6336,171.547,40.355,32,243,2368.000,846.000,283.058,96.017,84.019,90.000,0.994,96,2368.000,894.000,90,84,1.143,0.875,1.000
14,5957,154.341,48.539,43,235,2297.500,799.500,273.319,87.090,87.090,0.000,1.000,87,2254.000,799.500,0,87,1.000,1.000,1.001
15,4966,124.497,45.724,8,193,2215.000,718.500,249.779,81.051,78.012,90.000,1.000,81,2215.000,759.000,90,78,1.039,0.963,1.002
16,3415,179.562,59.083,21,249,2516.500,754.500,207.452,69.017,63.001,90.000,0.997,69,2516.500,789.000,90,63,1.095,0.913,0.998
17,4948,129.407,62.140,13,229,2552.500,861.000,249.957,83.856,75.129,90.000,0.995,84,2552.500,903.000,90,75,1.116,0.896,1.007
18,6582,134.108,61.529,3,238,2443.000,898.500,287.475,93.093,90.022,90.000,1.000,93,2443.000,945.000,90,90,1.034,0.967,1.005
19,4248,147.567,60.741,7,241,2488.000,835.500,230.931,75.059,72.059,90.000,1.000,75,2488.000,873.000,90,72,1.042,0.960,1.009
20,2960,121.621,40.370,21,210,2408.500,1023.000,193.237,62.925,59.893,0.000,0.996,63,2377.000,1023.000,0,60,1.051,0.952,0.991
21,7020,102.004,50.101,5,202,2407.000,1177.500,296.899,96.003,93.103,0.000,1.000,96,2359.000,1177.500,0,93,1.031,0.970,1.003
22,4248,105.980,39.950,15,177,2462.500,1053.000,230.931,75.059,72.059,0.000,1.000,75,2425.000,1053.000,0,72,1.042,0.960,1.009
23,4792,145.751,61.218,12,240,2263.000,1083.000,245.044,78.111,78.111,0.000,1.000,78,2224.000,1083.000,0,78,1.000,1.000,1.004
24,4784,126.765,49.987,6,245,2406.000,735.000,245.205,82.156,74.142,0.000,1.000,82,2365.000,735.000,0,74,1.108,0.902,1.001
25,3887,150.911,35.356,27,236,2414.500,613.500,228.656,86.882,56.963,0.000,0.934,87,2371.000,613.500,0,57,1.525,0.656,0.996
26,5348,105.791,45.788,10,175,2182.000,592.500,259.203,84.047,81.018,0.000,1.000,84,2140.000,592.500,0,81,1.037,0.964,1.003
27,3568,164.184,52.469,28,235,2242.000,1303.500,212.293,72.098,63.010,0.000,0.995,72,2206.000,1303.500,0,63,1.144,0.874,0.997
