 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,4792,211.848,33.693,98,254,1944.000,1543.000,245.044,78.111,78.111,0.000,1.000,78,1905.000,1543.000,0,78,1.000,1.000,1.004
2,5169,195.161,36.122,39,247,2128.500,1409.500,254.469,81.126,81.126,0.000,1.000,81,2088.000,1409.500,0,81,1.000,1.000,1.005
3,6537,190.169,39.295,2,242,2023.500,1430.500,294.911,110.947,75.019,90.000,0.945,111,2023.500,1486.000,90,75,1.479,0.676,1.002
4,7200,168.829,44.854,17,246,1950.000,1462.000,301.887,101.847,90.011,0.000,0.993,102,1899.000,1462.000,0,90,1.131,0.884,0.999
5,7696,158.429,66.885,20,254,1866.000,1585.000,311.089,102.065,96.006,90.000,0.999,102,1866.000,1636.000,90,96,1.063,0.941,1.000
6,5944,148.951,56.600,0,221,1809.000,1651.000,273.400,90.051,84.043,0.000,0.999,90,1764.000,1651.000,0,84,1.071,0.933,1.002
7,7850,140.769,45.355,22,208,1953.000,1634.500,316.592,110.951,90.084,90.000,0.984,111,1953.000,1690.000,90,90,1.232,0.812,0.997
8,6158,157.918,58.417,14,246,1893.000,1697.500,278.051,90.011,87.108,0.000,1.000,90,1848.000,1697.500,0,87,1.033,0.968,1.001
9,8652,164.209,59.480,4,249,1989.000,1705.000,329.935,107.934,102.063,0.000,0.999,108,1935.000,1705.000,0,102,1.058,0.946,1.000
10,5944,157.797,56.352,38,245,2016.000,1606.000,273.400,90.051,84.043,0.000,0.999,90,1971.000,1606.000,0,84,1.071,0.933,1.002
11,7696,139.334,48.566,0,222,2094.000,1576.000,311.089,102.065,96.006,0.000,0.999,102,2043.000,1576.000,0,96,1.063,0.941,1.000
12,4248,184.375,48.967,45,246,2065.500,1663.000,230.931,75.059,72.059,0.000,1.000,75,2028.000,1663.000,0,72,1.042,0.960,1.009
13,5957,183.120,34.496,93,234,2182.500,1610.500,273.319,87.090,87.090,0.000,1.000,87,2139.000,1610.500,0,87,1.000,1.000,1.001
14,2674,162.584,41.804,61,222,2214.000,1550.500,184.055,62.917,54.113,90.000,0.992,63,2214.000,1582.000,90,54,1.163,0.860,0.995
15,4966,193.224,37.128,60,252,2206.500,1435.000,249.779,81.051,78.012,0.000,1.000,81,2166.000,1435.000,0,78,1.039,0.963,1.002
16,5702,210.406,27.839,82,246,2284.500,1486.000,269.123,93.102,77.979,0.000,0.989,93,2238.000,1486.000,0,78,1.194,0.838,1.005
17,5702,191.801,34.253,54,245,2353.500,1483.000,269.123,93.102,77.979,0.000,0.989,93,2307.000,1483.000,0,78,1.194,0.838,1.005
18,6144,153.740,34.597,22,228,2344.500,1606.000,278.211,93.081,84.043,0.000,0.998,93,2298.000,1606.000,0,84,1.108,0.903,1.006
19,5302,168.066,52.527,54,248,1617.000,1661.500,259.717,90.018,74.993,0.000,0.988,90,1572.000,1661.500,0,75,1.200,0.833,1.005
20,8900,138.403,43.639,0,216,1797.000,2150.500,334.596,108.006,104.919,0.000,0.999,108,1743.000,2150.500,0,105,1.029,0.971,0.995
21,8685,130.717,55.908,0,217,1846.500,2225.500,329.867,105.157,105.157,0.000,1.000,105,1794.000,2225.500,0,105,1.000,1.000,0.996
22,6582,163.458,41.856,23,216,1453.500,2326.000,287.475,93.093,90.022,0.000,1.000,93,1407.000,2326.000,0,90,1.034,0.967,1.005
23,5275,126.677,47.148,17,209,1507.500,2400.500,257.850,87.105,77.106,0.000,0.997,87,1464.000,2400.500,0,77,1.130,0.885,1.006
24,7232,112.628,61.254,0,202,1575.000,2356.000,301.593,95.959,95.959,0.000,0.999,96,1527.000,2356.000,0,96,1.000,1.000,0.997
25,3782,111.346,26.334,28,152,1640.500,2170.000,218.479,72.920,66.036,0.000,0.996,73,1604.000,2170.000,0,66,1.104,0.906,1.003
26,6765,116.568,49.278,0,182,1249.500,2069.500,292.472,99.034,86.975,90.000,0.994,99,1249.500,2119.000,90,87,1.139,0.878,0.998
27,7458,130.385,43.383,0,200,1299.000,1769.500,306.468,102.141,92.967,0.000,0.998,102,1248.000,1769.500,0,93,1.099,0.910,1.005
28,6802,153.750,50.910,6,226,1330.500,1690.000,299.148,111.078,77.969,0.000,0.955,111,1275.000,1690.000,0,78,1.425,0.702,0.998
29,7434,129.581,50.281,19,206,1522.500,1669.000,306.759,105.071,90.085,0.000,0.993,105,1470.000,1669.000,0,90,1.166,0.857,0.998
30,9336,152.172,51.576,2,221,1563.000,1580.500,344.796,119.955,99.095,0.000,0.987,120,1503.000,1580.500,0,99,1.211,0.826,1.000
31,5302,181.832,58.773,2,253,1624.500,1531.000,259.717,90.018,74.993,90.000,0.988,90,1624.500,1576.000,90,75,1.200,0.833,1.005
32,5088,171.520,43.593,18,238,1635.000,1447.000,255.255,90.023,71.962,0.000,0.981,90,1590.000,1447.000,0,72,1.251,0.799,1.002
33,6564,174.116,53.232,35,245,1744.500,1522.000,287.630,96.071,86.994,90.000,0.997,96,1744.500,1570.000,90,87,1.104,0.906,0.999
34,5957,129.411,40.640,12,186,1393.500,2177.500,273.319,87.090,87.090,0.000,1.000,87,1350.000,2177.500,0,87,1.000,1.000,1.001
35,6582,162.820,52.644,40,225,2172.000,2084.500,287.475,93.093,90.022,90.000,1.000,93,2172.000,2131.000,90,90,1.034,0.967,1.005
