 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6476,118.031,44.649,33,224,1070.000,1153.000,286.308,98.019,84.121,0.000,0.993,98,1021.000,1153.000,0,84,1.165,0.858,1.002
2,7235,83.839,45.100,13,210,1096.500,1262.500,301.667,99.032,93.019,0.000,0.999,99,1047.000,1262.500,0,93,1.065,0.939,1.002
3,3709,68.046,61.853,0,202,1633.500,1235.500,217.180,74.938,63.018,90.000,0.988,75,1633.500,1273.000,90,63,1.189,0.841,0.999
4,3625,86.754,66.797,5,252,1696.500,1328.500,218.412,81.022,56.966,90.000,0.955,81,1696.500,1369.000,90,57,1.422,0.703,0.999
5,5944,36.184,36.987,0,162,1884.000,1453.000,273.400,90.051,84.043,90.000,0.999,90,1884.000,1498.000,90,84,1.071,0.933,1.002
6,2674,48.110,58.236,0,199,1890.000,1307.500,184.055,62.917,54.113,90.000,0.992,63,1890.000,1339.000,90,54,1.163,0.860,0.995
7,2166,50.764,42.272,1,245,2115.000,1160.500,164.967,54.013,51.059,0.000,1.000,54,2088.000,1160.500,0,51,1.058,0.945,0.999
8,2420,69.012,72.927,2,255,2390.500,1040.000,174.362,56.021,55.002,90.000,1.000,56,2390.500,1068.000,90,55,1.019,0.982,0.995
9,4052,60.155,44.012,2,175,2493.000,841.000,226.588,78.023,66.123,90.000,0.992,78,2493.000,880.000,90,66,1.180,0.847,1.007
10,4573,73.629,53.866,3,199,2448.500,1070.500,242.924,86.991,66.932,90.000,0.974,87,2448.500,1114.000,90,67,1.300,0.769,1.006
11,5944,102.301,40.589,7,188,2526.000,1186.000,273.400,90.051,84.043,90.000,0.999,90,2526.000,1231.000,90,84,1.071,0.933,1.002
12,3260,58.678,28.845,25,158,2560.500,1267.000,202.879,69.094,60.074,0.000,0.995,69,2526.000,1267.000,0,60,1.150,0.869,1.007
13,3274,76.050,37.412,18,159,2734.500,1405.000,202.660,66.099,63.066,90.000,1.000,66,2734.500,1438.000,90,63,1.048,0.954,1.001
14,4948,65.037,30.364,0,171,2635.500,1381.000,249.957,83.856,75.129,90.000,0.995,84,2635.500,1423.000,90,75,1.116,0.896,1.007
15,3904,45.060,51.248,0,232,2238.000,1478.500,221.507,71.992,69.045,0.000,1.000,72,2202.000,1478.500,0,69,1.043,0.959,1.007
16,2525,79.855,71.746,0,255,2254.500,1574.500,179.567,62.977,51.049,0.000,0.984,63,2223.000,1574.500,0,51,1.234,0.811,0.992
17,3782,68.934,61.322,2,254,2250.500,1846.000,218.479,72.920,66.036,0.000,0.996,73,2214.000,1846.000,0,66,1.104,0.906,1.003
18,2912,91.841,72.412,5,228,2253.000,1926.000,191.959,66.079,56.110,0.000,0.993,66,2220.000,1926.000,0,56,1.178,0.849,1.004
19,4248,34.815,33.030,0,160,2179.500,1876.000,230.931,75.059,72.059,0.000,1.000,75,2142.000,1876.000,0,72,1.042,0.960,1.009
20,2674,86.848,60.324,25,253,1546.500,1825.000,184.055,62.917,54.113,0.000,0.992,63,1515.000,1825.000,0,54,1.163,0.860,0.995
21,2292,90.866,62.179,20,255,1623.000,1945.000,169.646,54.021,54.021,0.000,1.000,54,1596.000,1945.000,0,54,1.000,1.000,1.002
22,4060,50.032,55.441,0,251,1776.000,1567.000,226.195,71.898,71.898,0.000,0.997,72,1740.000,1567.000,0,72,1.000,1.000,1.001
23,3728,45.521,54.554,0,196,1785.000,1486.000,216.872,71.891,66.026,90.000,0.996,72,1785.000,1522.000,90,66,1.089,0.918,1.005
24,3904,65.832,62.689,0,253,1786.500,1390.000,221.507,71.992,69.045,90.000,1.000,72,1786.500,1426.000,90,69,1.043,0.959,1.007
25,2960,94.133,71.467,0,253,1791.000,1301.500,193.237,62.925,59.893,90.000,0.996,63,1791.000,1333.000,90,60,1.051,0.952,0.991
26,3220,34.651,33.135,0,150,2061.000,1251.000,201.111,66.042,62.079,0.000,1.000,66,2028.000,1251.000,0,62,1.064,0.940,1.004
27,4890,70.519,65.121,0,255,1980.000,1337.500,250.847,90.144,69.069,0.000,0.977,90,1935.000,1337.500,0,69,1.305,0.766,1.007
28,6564,59.793,73.023,0,237,2023.500,1396.000,287.630,96.071,86.994,90.000,0.997,96,2023.500,1444.000,90,87,1.104,0.906,0.999
29,3894,80.644,68.890,0,255,2028.000,1493.500,221.708,75.051,66.061,90.000,0.996,75,2028.000,1531.000,90,66,1.136,0.880,1.011
30,6367,60.657,63.607,0,239,2068.500,1571.500,282.822,93.032,87.139,0.000,1.000,93,2022.000,1571.500,0,87,1.068,0.937,1.005
31,2148,95.247,60.246,7,224,2385.000,1166.500,165.237,57.068,47.924,90.000,0.989,57,2385.000,1195.000,90,48,1.191,0.840,0.998
32,3709,86.710,64.895,0,202,2212.500,1361.500,217.180,74.938,63.018,0.000,0.988,75,2175.000,1361.500,0,63,1.189,0.841,0.999
33,4248,62.587,51.008,0,183,1834.500,1549.000,230.931,75.059,72.059,0.000,1.000,75,1797.000,1549.000,0,72,1.042,0.960,1.009
