 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
45,4238,157.314,40.610,2,208,2061.000,1665.500,231.123,78.138,69.057,0.000,0.997,78,2022.000,1665.500,0,69,1.132,0.884,1.007
46,3728,178.287,42.458,17,225,2016.000,1718.000,216.872,71.891,66.026,90.000,0.996,72,2016.000,1754.000,90,66,1.089,0.918,1.005
47,3728,146.174,48.378,10,212,2112.000,1748.000,216.872,71.891,66.026,90.000,0.996,72,2112.000,1784.000,90,66,1.089,0.918,1.005
48,4948,128.433,55.628,2,226,2173.500,1373.000,249.957,83.856,75.129,90.000,0.995,84,2173.500,1415.000,90,75,1.116,0.896,1.007
49,4052,165.937,43.546,13,217,2130.000,1175.000,226.588,78.023,66.123,0.000,0.992,78,2091.000,1175.000,0,66,1.180,0.847,1.007
50,4723,173.756,43.051,21,232,2014.500,1197.500,245.861,87.028,69.099,0.000,0.982,87,1971.000,1197.500,0,69,1.259,0.794,1.006
51,7235,141.917,56.128,1,243,1747.500,1269.500,301.667,99.032,93.019,90.000,0.999,99,1747.500,1319.000,90,93,1.065,0.939,1.002
52,6367,181.946,44.132,14,245,1711.500,1164.500,282.822,93.032,87.139,90.000,1.000,93,1711.500,1211.000,90,87,1.068,0.937,1.005
53,6765,102.650,54.563,5,216,1801.500,1404.500,292.472,99.034,86.975,90.000,0.994,99,1801.500,1454.000,90,87,1.139,0.878,0.998
54,8652,100.975,50.371,0,196,2244.000,1544.000,329.935,107.934,102.063,90.000,0.999,108,2244.000,1598.000,90,102,1.058,0.946,1.000
55,8184,144.028,56.279,14,226,2328.000,1460.000,320.442,102.079,102.079,0.000,1.000,102,2277.000,1460.000,0,102,1.000,1.000,1.003
56,8604,159.073,59.868,4,247,2517.000,1541.000,330.473,114.123,95.992,90.000,0.990,114,2517.000,1598.000,90,96,1.189,0.841,1.001
57,5468,141.187,44.129,15,239,2563.000,1620.500,262.438,86.970,80.051,90.000,0.998,87,2563.000,1664.000,90,80,1.086,0.920,1.003
58,6158,175.301,44.197,37,251,2530.500,1718.000,278.051,90.011,87.108,90.000,1.000,90,2530.500,1763.000,90,87,1.033,0.968,1.001
59,5957,128.515,46.689,6,248,2452.500,1728.500,273.319,87.090,87.090,0.000,1.000,87,2409.000,1728.500,0,87,1.000,1.000,1.001
60,7020,109.958,41.840,7,212,2389.500,1670.000,296.899,96.003,93.103,90.000,1.000,96,2389.500,1718.000,90,93,1.031,0.970,1.003
61,7235,98.885,38.734,4,180,2254.500,1776.500,301.667,99.032,93.019,90.000,0.999,99,2254.500,1826.000,90,93,1.065,0.939,1.002
62,5169,104.445,28.332,22,205,2167.500,1743.500,254.469,81.126,81.126,0.000,1.000,81,2127.000,1743.500,0,81,1.000,1.000,1.005
63,7705,93.848,31.823,6,165,2230.500,1683.500,311.018,99.047,99.047,0.000,1.000,99,2181.000,1683.500,0,99,1.000,1.000,0.996
64,6158,114.271,46.638,14,208,2109.000,1641.500,278.051,90.011,87.108,0.000,1.000,90,2064.000,1641.500,0,87,1.033,0.968,1.001
65,6012,179.074,30.200,39,223,2250.000,1204.500,274.999,91.062,84.060,90.000,0.999,91,2250.000,1250.000,90,84,1.083,0.923,1.003
66,6336,160.430,29.923,44,214,2325.000,1229.000,283.058,96.017,84.019,0.000,0.994,96,2277.000,1229.000,0,84,1.143,0.875,1.000
67,6376,142.311,49.717,17,213,1458.000,1835.000,282.743,90.101,90.101,0.000,1.000,90,1413.000,1835.000,0,90,1.000,1.000,1.003
68,6765,158.087,52.064,21,239,1420.500,1971.500,292.472,99.034,86.975,0.000,0.994,99,1371.000,1971.500,0,87,1.139,0.878,0.998
69,11406,144.338,66.680,5,251,1565.000,1328.500,378.577,121.967,119.069,0.000,1.000,122,1504.000,1328.500,0,119,1.024,0.976,1.001
