 ,Area,Mean,StdDev,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5544,191.558,32.428,90,249,1857.000,1211.000,263.894,84.017,84.017,0.000,1.000,84,1815.000,1211.000,0,84,1.000,1.000,1.003
2,4948,186.445,39.421,85,249,2095.500,1163.000,249.957,83.856,75.129,90.000,0.995,84,2095.500,1205.000,90,75,1.116,0.896,1.007
3,3125,194.048,44.003,61,253,2212.500,1005.500,197.920,63.078,63.078,0.000,1.000,63,2181.000,1005.500,0,63,1.000,1.000,0.990
4,3904,189.317,38.846,23,246,2185.500,944.000,221.507,71.992,69.045,90.000,1.000,72,2185.500,980.000,90,69,1.043,0.959,1.007
5,3998,188.486,51.678,32,252,1950.000,1019.500,224.956,77.053,66.063,90.000,0.993,77,1950.000,1058.000,90,66,1.166,0.857,1.010
6,5544,181.196,53.163,24,247,2004.000,1016.000,263.894,84.017,84.017,0.000,1.000,84,1962.000,1016.000,0,84,1.000,1.000,1.003
7,4584,162.439,42.781,32,236,2115.000,960.500,240.540,81.075,71.989,90.000,0.996,81,2115.000,1001.000,90,72,1.126,0.888,1.004
8,6948,141.377,48.976,5,226,2332.000,967.000,295.310,94.056,94.056,0.000,1.000,94,2285.000,967.000,0,94,1.000,1.000,1.008
9,4152,165.102,37.174,63,229,2412.000,975.500,232.087,83.891,63.016,0.000,0.969,84,2370.000,975.500,0,63,1.331,0.751,0.994
10,4059,156.421,60.521,36,240,2428.500,1035.500,226.293,74.900,69.000,0.000,0.996,75,2391.000,1035.500,0,69,1.086,0.921,1.008
11,3568,171.988,52.231,26,249,2523.000,1119.500,212.293,72.098,63.010,0.000,0.995,72,2487.000,1119.500,0,63,1.144,0.874,0.997
12,4421,161.112,46.861,38,250,2557.500,1227.500,235.619,75.027,75.027,0.000,1.000,75,2520.000,1227.500,0,75,1.000,1.000,1.012
13,5736,175.113,55.874,2,250,2436.000,1263.500,268.627,86.996,83.950,90.000,0.999,87,2436.000,1307.000,90,84,1.036,0.965,1.000
14,4248,167.140,57.734,43,252,2419.500,1178.000,230.931,75.059,72.059,0.000,1.000,75,2382.000,1178.000,0,72,1.042,0.960,1.009
15,6158,175.659,57.616,34,253,2355.000,1221.500,278.051,90.011,87.108,0.000,1.000,90,2310.000,1221.500,0,87,1.033,0.968,1.001
16,6788,151.010,54.091,9,242,2292.000,1259.000,292.244,95.967,90.060,90.000,0.999,96,2292.000,1307.000,90,90,1.066,0.938,0.999
17,6788,159.914,51.683,21,239,2283.000,1175.000,292.244,95.967,90.060,90.000,0.999,96,2283.000,1223.000,90,90,1.066,0.938,0.999
18,5736,165.884,43.838,52,253,2353.500,1148.000,268.627,86.996,83.950,0.000,0.999,87,2310.000,1148.000,0,84,1.036,0.965,1.000
19,4416,130.233,53.594,6,231,2349.000,1037.000,235.714,78.118,71.976,90.000,0.999,78,2349.000,1076.000,90,72,1.085,0.921,1.004
20,4987,154.262,47.841,16,243,2309.500,1089.500,251.809,87.033,72.956,90.000,0.988,87,2309.500,1133.000,90,73,1.193,0.838,0.999
21,3745,171.310,55.643,26,244,2212.500,1083.500,216.770,69.053,69.053,0.000,1.000,69,2178.000,1083.500,0,69,1.000,1.000,1.010
22,4792,161.678,43.723,59,237,2139.000,1070.000,245.044,78.111,78.111,0.000,1.000,78,2100.000,1070.000,0,78,1.000,1.000,1.004
23,3274,183.133,42.191,72,249,2074.500,1100.000,202.660,66.099,63.066,90.000,1.000,66,2074.500,1133.000,90,63,1.048,0.954,1.001
24,5348,159.965,44.829,40,255,2013.000,1110.500,259.203,84.047,81.018,0.000,1.000,84,1971.000,1110.500,0,81,1.037,0.964,1.003
25,4598,171.391,32.329,84,231,1903.500,1235.000,240.355,78.067,74.992,90.000,1.000,78,1903.500,1274.000,90,75,1.041,0.961,1.007
26,7476,192.326,30.836,88,249,1882.500,1085.000,306.323,99.099,96.053,0.000,1.000,99,1833.000,1085.000,0,96,1.032,0.969,0.998
27,4779,149.537,40.548,3,215,1774.500,1572.500,245.135,81.010,75.112,0.000,0.999,81,1734.000,1572.500,0,75,1.079,0.927,1.008
28,6144,86.577,38.860,8,150,1747.500,1082.000,278.211,93.081,84.043,0.000,0.998,93,1701.000,1082.000,0,84,1.108,0.903,1.006
